"","from","to","Tagging","6/23/2022","7/11/2022","7/21/2022","8/10/2022","8/23/2022","9/13/2022","9/27/2022","10/26/2022","4/27/2023","6/4/2023","6/23/2023","7/17/2023","8/15/2023","9/22/2023"
"1","Lower Tangle","Lower Tangle","32 91% (5%)","31 97% (3%)","34 100% (0%)","34 100% (0%)","33 97% (3%)","33 100% (0%)","32 100% (0%)","33 100% (0%)","33 100% (0%)","32 100% (0%)","31 97% (3%)","30 97% (3%)","30 100% (0%)","27 100% (0%)","18 100% (0%)"
"2","","Shallow Tangle","3 9% (5%)","1 3% (3%)","","","1 3% (3%)","","","","","","1 3% (3%)","1 3% (3%)","","",""
"3","","Round Tangle","","","","","","","","","","","","","","",""
"4","","Upper Tangle","","","","","","","","","","","","","","",""
"5","Shallow Tangle","Lower Tangle","","3 14% (7%)","","","","","1 14% (14%)","","","","","1 6% (6%)","1 9% (9%)","",""
"6","","Shallow Tangle","19 86% (7%)","12 55% (11%)","11 85% (10%)","8 73% (14%)","8 89% (11%)","6 67% (17%)","5 71% (18%)","6 100% (0%)","10 100% (0%)","10 100% (0%)","15 94% (6%)","10 56% (12%)","1 9% (9%)","","2 67% (33%)"
"7","","Round Tangle","3 14% (7%)","7 32% (10%)","2 15% (10%)","3 27% (14%)","1 11% (11%)","3 33% (17%)","1 14% (14%)","","","","1 6% (6%)","7 39% (12%)","9 82% (12%)","1 100% (NaN%)","1 33% (33%)"
"8","","Upper Tangle","","","","","","","","","","","","","","",""
"9","Round Tangle","Lower Tangle","","","","","","","","","","","","","","1 3% (3%)",""
"10","","Shallow Tangle","2 9% (6%)","","","1 3% (3%)","1 3% (3%)","2 7% (5%)","1 3% (3%)","4 13% (6%)","","6 22% (8%)","2 11% (7%)","","","4 12% (6%)","1 5% (5%)"
"11","","Round Tangle","21 91% (6%)","24 100% (0%)","31 100% (0%)","31 97% (3%)","31 97% (3%)","28 93% (5%)","30 97% (3%)","27 87% (6%)","27 100% (0%)","21 78% (8%)","17 89% (7%)","16 100% (0%)","23 100% (0%)","27 84% (7%)","19 95% (5%)"
"12","","Upper Tangle","","","","","","","","","","","","","","",""
"13","Upper Tangle","Lower Tangle","","","","","","","","","","","","","","",""
"14","","Shallow Tangle","","","","","","","","","","","","","","",""
"15","","Round Tangle","","","","","","","","","","","","","","",""
"16","","Upper Tangle","12 100% (0%)","12 100% (0%)","12 100% (0%)","9 100% (0%)","8 100% (0%)","8 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","7 100% (0%)","5 100% (0%)","4 100% (0%)","4 100% (0%)","3 100% (0%)"
